Reaction_ID,Mean_IBD,Mean_Control,Fold_Change,P_value,FDR_corrected_q
FE3abc,0.012761682389505815,0.025289216599133264,0.5046294075374085,1.1389948140093342e-09,1.4956767385135505e-07
3MOPLPAMO,0.009828699218140963,0.030777113590699852,0.3193509095378903,1.9942356513514007e-09,1.4956767385135505e-07
DPRr,0.013289406620880446,0.029905688212938007,0.44437722102416255,6.420750674421996e-09,2.784669673952887e-07
G3PCT,0.9621640360835878,1.825232462212864,0.527146024412192,7.4257857972077e-09,2.784669673952887e-07
r2137,0.014990259900282264,0.027711378162921137,0.5409424176650944,1.3590848148858247e-08,4.077254444657474e-07
LYSabc,11.389855825165123,0.45382634209747263,25.097388072547833,3.255585047249167e-08,8.138962618122917e-07
COBALTt5,-0.012286876018181818,-0.021796048656249997,0.563720342708015,4.5382529151858094e-08,9.241201732976164e-07
FE2abc,0.027464994254101323,0.05099195674626102,0.5386142444144426,4.928640924253954e-08,9.241201732976164e-07
CAt4i,0.009457530056700343,0.017943856948253328,0.5270622745140057,8.498396491955481e-08,1.4163994153259135e-06
THMt3,-67.88251108546072,-17.907390753452635,3.790753885926828,9.989315426950261e-08,1.4983973140425392e-06
2MEBCOADH,-0.015499878980841928,-0.04952682703125,0.31295925682987835,1.1120745439768491e-07,1.5164652872411577e-06
TECA2S180,0.0007579763974497481,0.001874312353548928,0.4044023911033575,3.966018870205284e-07,3.25352581585486e-06
TECA5S180,0.0007579763974497481,0.001874312353548928,0.4044023911033575,3.966018870205284e-07,3.25352581585486e-06
TECA3S180,0.0007579763974497481,0.001874312353548928,0.4044023911033575,3.966018870205284e-07,3.25352581585486e-06
TECA1S180,0.003031905589799154,0.00749724941419604,0.40440239110336135,3.966018870205284e-07,3.25352581585486e-06
SUDPDGT,0.0030319055897991393,0.00749724941419604,0.4044023911033594,4.0172133314395716e-07,3.25352581585486e-06
SUDPMGT,0.003031905589799066,0.00749724941419604,0.40440239110334963,4.06904514879951e-07,3.25352581585486e-06
ZNabc,50.9220132693895,96.31807959077825,0.5286859277691092,4.1215219444234105e-07,3.25352581585486e-06
PGI,12227.822420849056,18235.043921499302,0.6705672041969873,4.228441395518643e-07,3.25352581585486e-06
EX_tmao_m,-7.568173960589795,-0.20286640164671202,37.3061970792464,4.338034421139814e-07,3.25352581585486e-06
UACMAMAT,0.016803786871941992,0.028878745413499687,0.5818738532902775,8.163089514206146e-07,4.887749830967669e-06
ACGAMT,0.01680378687194189,0.028878745413499687,0.5818738532902741,8.163089514206146e-07,4.887749830967669e-06
PNTOt4,0.010609950839563126,0.019142385497132534,0.5542648193534949,8.163089514206146e-07,4.887749830967669e-06
TECAAE,0.005601262290647072,0.00962624847116611,0.581873853290278,8.163089514206146e-07,4.887749830967669e-06
TECAGE,0.005601262290647084,0.00962624847116611,0.5818738532902792,8.163089514206146e-07,4.887749830967669e-06
OCDCAt2,2.154079433659131,10.32495335297169,0.20862849061096744,8.581222750477018e-07,4.887749830967669e-06
FDNADOX_H,4337.20693443213,6996.166866421247,0.6199404641488695,8.797949695741803e-07,4.887749830967669e-06
PDHc,12.880004065314473,0.09946415450401476,129.49392803408978,9.963063514558367e-07,5.282730248631698e-06
EX_fe2(e),-0.03847650516363637,-0.06562356409374999,0.5863214791057179,1.021327848068795e-06,5.282730248631698e-06
EX_tmao(e),-135.30294358999998,-21.875,6.185277421257142,1.1000742231256424e-06,5.490295128790218e-06
EX_tma_m,8.617234407352234,0.3134213933053634,27.494084932985242,1.18464656800255e-06,5.490295128790218e-06
EX_etha(e),-120.90698619090908,-15.625,7.738047116218181,1.18464656800255e-06,5.490295128790218e-06
EX_tma(e),185.75748904459695,37.5,4.953533041189252,1.2142023622622654e-06,5.490295128790218e-06
EX_but(e),2957.3830898012743,4544.358923648287,0.6507811419585313,1.244466895859116e-06,5.490295128790218e-06
bio1,3.5613913224319202,5.993186330552353,0.5942400462799711,1.477574474806722e-06,5.990166789756981e-06
TMDPK,0.6705402004763139,0.16709478075082818,4.012933243416046,1.477574474806722e-06,5.990166789756981e-06
3MEBCOADH,-0.019233399145454546,-0.0499373278125,0.38515074770661156,1.477574474806722e-06,5.990166789756981e-06
BUTt2r,-2768.5124453690905,-4330.9925960625005,0.6392327818537648,1.629065991338296e-06,6.430523650019589e-06
EX_etha_m,-3.189081331963637,-0.21541899928125,14.804085724119384,2.3696690559331767e-06,8.797654419390012e-06
DHPPDA2,0.0005934036183820493,0.0033081876019438435,0.17937423440961264,2.4860671200458515e-06,8.797654419390012e-06
CBIAT,0.017467634185512837,0.028218902234656805,0.6190047380390337,2.6392963258170035e-06,8.797654419390012e-06
NNDMBRT,0.01746763418551287,0.028218902234656805,0.6190047380390349,2.6392963258170035e-06,8.797654419390012e-06
ADOCBLS,0.01746763418551287,0.028218902234656805,0.6190047380390349,2.6392963258170035e-06,8.797654419390012e-06
RZ5PP,0.017467634185512827,0.028218902234656805,0.6190047380390333,2.6392963258170035e-06,8.797654419390012e-06
ACBIPGT,0.01746763418551276,0.028218902234656805,0.619004738039031,2.6392963258170035e-06,8.797654419390012e-06
FMNAT,0.02428001790100416,0.039614290501605656,0.6129105833668796,4.04268519882671e-06,1.3182669126608837e-05
r0792,-7.6909473496957075,-9.088297540741213,0.8462473103701288,4.65242502898718e-06,1.4848164986129299e-05
DMPPS2r,-6524.337712510853,-9884.9991970625,0.6600241014131467,5.106849872650038e-06,1.5633213895867463e-05
Coabc,0.0028523316883363402,0.006086182800455194,0.46865692041372964,5.106849872650038e-06,1.5633213895867463e-05
ACOAAGPAT180,1.3063912760106549,0.13067469733962375,9.997277993423179,6.146423261218348e-06,1.8439269783655042e-05
CYTDt2rpp,490.24866197287616,824.8604534350204,0.5943413336538339,7.3027070683248916e-06,2.1478550200955563e-05
