Sample_ID,Stratification_Group,Diet_Condition,BCAA_Multiplier,Growth_Rate,3MOPLPAMO_Flux
PRISM.8513,Track A (Dorea Present),Baseline_1x,1.0,0.6714675331892895,0.0388427390440336
PRISM.8513,Track A (Dorea Present),Moderate_2x,2.0,0.6709804762063646,0.0174050954298548
PRISM.8513,Track A (Dorea Present),High_Overdrive_10x,10.0,0.671561954189291,0.0319631846451008
PRISM.8550,Track B (Dorea Absent),Baseline_1x,1.0,0.1655749501797571,0.0
PRISM.8550,Track B (Dorea Absent),Moderate_2x,2.0,0.1655130560199285,0.0
PRISM.8550,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.165758687028485,0.0
PRISM.8564,Track B (Dorea Absent),Baseline_1x,1.0,0.6744201185838699,0.0
PRISM.8564,Track B (Dorea Absent),Moderate_2x,2.0,0.6748313075361696,0.0
PRISM.8564,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.6759238031185661,0.0
PRISM.8573,Track A (Dorea Present),Baseline_1x,1.0,0.4848673904631319,0.0204899991698613
PRISM.8573,Track A (Dorea Present),Moderate_2x,2.0,0.4846177041564276,0.0156491360011538
PRISM.8573,Track A (Dorea Present),High_Overdrive_10x,10.0,0.4845777417062992,0.0156437009804997
PRISM.8592,Track_A_Dorea_Present,Baseline_1x,1.0,0.691193845979909,0.0558302204794449
PRISM.8592,Track_A_Dorea_Present,Moderate_2x,2.0,0.6893161583995797,0.0546299702367407
PRISM.8592,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.6914467824141861,0.0561105014349506
PRISM.8624,Track B (Dorea Absent),Baseline_1x,1.0,0.5351133379893257,0.0
PRISM.8624,Track B (Dorea Absent),Moderate_2x,2.0,0.5351217837511002,0.0
PRISM.8624,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.535197746513655,0.0
PRISM.8667,Track B (Dorea Absent),Baseline_1x,1.0,0.9216664629613524,0.0
PRISM.8667,Track B (Dorea Absent),Moderate_2x,2.0,0.9216454537850176,0.0
PRISM.8667,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9216710863496084,0.0
PRISM.8734,Track A (Dorea Present),Baseline_1x,1.0,0.8776421011909421,0.014306663326142
PRISM.8734,Track A (Dorea Present),Moderate_2x,2.0,0.8786214507982303,0.0370656374268768
PRISM.8734,Track A (Dorea Present),High_Overdrive_10x,10.0,0.8776987915336647,0.0283478418363769
PRISM.8758,Track B (Dorea Absent),Baseline_1x,1.0,0.1919658626196933,0.0
PRISM.8758,Track B (Dorea Absent),Moderate_2x,2.0,0.1917745858940479,0.0
PRISM.8758,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.1922454579285263,0.0
PRISM.8795,Track_A_Dorea_Present,Baseline_1x,1.0,0.2488103130947689,0.0275116450563601
PRISM.8795,Track_A_Dorea_Present,Moderate_2x,2.0,0.2478084712321437,0.037789989129251
PRISM.8795,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.2489616527584298,0.0297713250115156
PRISM.8849,Track B (Dorea Absent),Baseline_1x,1.0,0.3797336747457447,0.0
PRISM.8849,Track B (Dorea Absent),Moderate_2x,2.0,0.3794764674398378,0.0
PRISM.8849,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.3807343554546125,0.0
PRISM.8892,Track_A_Dorea_Present,Baseline_1x,1.0,0.4129151771269381,0.0040885794291382
PRISM.8892,Track_A_Dorea_Present,Moderate_2x,2.0,0.4129209756805277,0.013278820305073
PRISM.8892,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.4129183240950493,0.0040834486481254
PRISM.8898,Track_A_Dorea_Present,Baseline_1x,1.0,0.9216828481854008,0.0273127590800432
PRISM.8898,Track_A_Dorea_Present,Moderate_2x,2.0,0.9216798921439436,0.0321880895253079
PRISM.8898,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.9216282563248768,0.021441568096748
PRISM.8998,Track B (Dorea Absent),Baseline_1x,1.0,0.921681954006332,0.0
PRISM.8998,Track B (Dorea Absent),Moderate_2x,2.0,0.9216819269047442,0.0
PRISM.8998,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9216803784063607,0.0
PRISM.9018,Track_A_Dorea_Present,Baseline_1x,1.0,0.921659843930015,0.0304892739176459
PRISM.9018,Track_A_Dorea_Present,Moderate_2x,2.0,0.9216842599250098,0.0234868096551883
PRISM.9018,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.9216545690601242,0.0231939941476185
PRISM.7150,Track_B_Dorea_Absent,Baseline_1x,1.0,0.9216825233684665,0.0
PRISM.7150,Track_B_Dorea_Absent,Moderate_2x,2.0,0.9216767954405548,0.0
PRISM.7150,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.921683545036123,0.0
PRISM.7184,Track_B_Dorea_Absent,Baseline_1x,1.0,0.5209950097382118,0.0
PRISM.7184,Track_B_Dorea_Absent,Moderate_2x,2.0,0.5182681345041235,0.0
PRISM.7184,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.5184217095221544,0.0
PRISM.7408,Track_B_Dorea_Absent,Baseline_1x,1.0,0.6195596402899979,0.0
PRISM.7408,Track_B_Dorea_Absent,Moderate_2x,2.0,0.6194163958745436,0.0
PRISM.7408,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.6188391961078272,0.0
PRISM.7759,Track_B_Dorea_Absent,Baseline_1x,1.0,0.6556803402510633,0.0
PRISM.7759,Track_B_Dorea_Absent,Moderate_2x,2.0,0.6557418241509131,0.0
PRISM.7759,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.6557682576545663,0.0
PRISM.7938,Track_B_Dorea_Absent,Baseline_1x,1.0,0.7428319092118917,0.0
PRISM.7938,Track_B_Dorea_Absent,Moderate_2x,2.0,0.7441200648002654,0.0
PRISM.7938,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.7428769182220171,0.0
PRISM.7122,Track A (Dorea Present),Baseline_1x,1.0,0.47156555159047103,0.03287841394124528
PRISM.7122,Track A (Dorea Present),Moderate_2x,2.0,0.47112546127692284,0.027555282425792072
PRISM.7122,Track A (Dorea Present),High_Overdrive_10x,10.0,0.4709591589198297,0.010999949814768208
PRISM.7147,Track A (Dorea Present),Baseline_1x,1.0,0.6125942720420535,0.03780239037373891
PRISM.7147,Track A (Dorea Present),Moderate_2x,2.0,0.6155289230930521,0.03451936070741716
PRISM.7147,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6150333571293827,0.007982598657540103
PRISM.7153,Track A (Dorea Present),Baseline_1x,1.0,0.4913767778902619,0.04314460600483503
PRISM.7153,Track A (Dorea Present),Moderate_2x,2.0,0.49381507517060963,0.03875530698583528
PRISM.7153,Track A (Dorea Present),High_Overdrive_10x,10.0,0.49325864713723416,0.04199008629778374
PRISM.7496,Track A (Dorea Present),Baseline_1x,1.0,0.48985652029566984,0.0
PRISM.7496,Track A (Dorea Present),Moderate_2x,2.0,0.4886174047028812,0.0
PRISM.7496,Track A (Dorea Present),High_Overdrive_10x,10.0,0.48923040477892216,0.0
PRISM.7658,Track A (Dorea Present),Baseline_1x,1.0,0.6567050414079586,0.02245831502965361
PRISM.7658,Track A (Dorea Present),Moderate_2x,2.0,0.6572260053457469,0.027375937396392144
PRISM.7658,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6571160213210965,0.025292623083821002
PRISM.7662,Track A (Dorea Present),Baseline_1x,1.0,0.7669520118407339,0.05846411243923367
PRISM.7662,Track A (Dorea Present),Moderate_2x,2.0,0.7661413230646293,0.07479496134996966
PRISM.7662,Track A (Dorea Present),High_Overdrive_10x,10.0,0.7655792408181262,0.058308386467027205
PRISM.7776,Track A (Dorea Present),Baseline_1x,1.0,0.48025560737712425,0.006978713947040125
PRISM.7776,Track A (Dorea Present),Moderate_2x,2.0,0.479987852960192,0.01389238917834745
PRISM.7776,Track A (Dorea Present),High_Overdrive_10x,10.0,0.48013441933092904,0.006335077520764099
PRISM.7847,Track A (Dorea Present),Baseline_1x,1.0,0.7638780626837731,0.03755215683918251
PRISM.7847,Track A (Dorea Present),Moderate_2x,2.0,0.7637324287457161,0.023043893248864387
PRISM.7847,Track A (Dorea Present),High_Overdrive_10x,10.0,0.7637757995180899,0.05398419816915808
PRISM.7852,Track A (Dorea Present),Baseline_1x,1.0,0.914856390922131,0.03986596024925782
PRISM.7852,Track A (Dorea Present),Moderate_2x,2.0,0.9126433560039866,0.04719391596676666
PRISM.7852,Track A (Dorea Present),High_Overdrive_10x,10.0,0.9136233536592165,0.024508862822811287
PRISM.7855,Track A (Dorea Present),Baseline_1x,1.0,0.8040810854775111,0.04323770230979865
PRISM.7855,Track A (Dorea Present),Moderate_2x,2.0,0.8040518503813742,0.016621827558934165
